Sample Number,Sampled Date,Partial Postal Code,Lead Amount ppb
1163218,15-Apr-11,M6K,8.00
1163218,15-Apr-11,M6K,8.00
1164238,28-Mar-11,M1N,2.00
1164241,15-Apr-11,M1R,9.00
1164242,11-Apr-11,M8W,<0.500
1164243,08-Apr-11,M1S,0.600
1164361,28-Apr-11,M6R,3.00
1164368,12-Apr-11,M4M,7.00
1164374,13-Apr-11,M4M,0.600
1164375,13-Apr-11,M4C,38.0
1164376,13-Apr-11,M6R,3.00
1164377,14-Apr-11,M4S,0.800
1164378,14-Apr-11,M6E,3.00
1164379,14-Apr-11,M6E,<0.500
1164380,16-Apr-11,M6G,4.00
1164381,16-Apr-11,M4E,14.0
1164383,15-Apr-11,M4S,2.00
1164387,15-Apr-11,M4E,6.00
1164402,18-Apr-11,M6J,3.00
1164403,18-Apr-11,M6C,<0.500
1164410,18-Apr-11,M4C,<0.500
1164419,18-Apr-11,M5R,2.00
1164425,19-Apr-11,M6P,7.00
1164427,19-Apr-11,M6G,7.00
1164432,20-Apr-11,M6P,2.00
1164435,20-Apr-11,M6S,0.700
1164459,20-Apr-11,M4E,27.0
1164494,20-Apr-11,M4L,1860
1164497,21-Apr-11,M4P,7.00
1164498,21-Apr-11,M6N,5.00
1164500,21-Apr-11,M6H,2.00
1164504,27-Apr-11,M4X,92.0
1165620,05-Apr-11,M1K,0.900
1165628,02-May-11,M4L,8.00
1165632,12-Apr-11,M4E,10.0
1165633,12-Apr-11,M1E,<0.500
1165636,13-Apr-11,M6R,1.00
1165652,14-Apr-11,M6P,10.0
1165653,15-Apr-11,M4J,5.00
1165656,24-Apr-11,M9N,5.00
1165797,24-Apr-11,M9N,<0.500
1165819,23-Apr-11,M4S,5.00
1165837,21-Apr-11,M6H,1.00
1165841,21-Apr-11,M6R,0.600
1165851,21-Apr-11,M4E,1.00
1165857,20-Apr-11,M4K,1580
1165869,24-Apr-11,M4J,2.00
1165876,20-Apr-11,M4J,0.600
1165884,20-Apr-11,M1L,0.700
1165898,19-Apr-11,M4J,<0.500
1165900,18-Apr-11,M5S,1.00
1165901,18-Apr-11,M8V,0.800
1165902,16-Apr-11,M4M,0.600
1165903,18-Apr-11,M4L,1.00
1165904,18-Apr-11,M4K,1.00
1165905,18-Apr-11,M5T,0.700
1166105,17-Apr-11,M4C,36.0
1166106,17-Apr-11,M9B,3.00
1166113,17-Apr-11,M1C,2.00
1168382,21-Apr-11,M1K,74.0
1168394,09-May-11,M6H,1.00
1168400,26-Apr-11,M4K,<0.500
1168403,09-May-11,M4L,2.00
1168404,09-May-11,M4M,6.00
1168411,21-Apr-11,M4J,3.00
1168775,27-Apr-11,M4C,<0.500
1168777,29-Apr-11,M4M,10.0
1168778,27-Apr-11,M4E,4.00
1168781,26-Apr-11,M4L,3.00
1168784,29-Apr-11,M4C,8660
1168893,05-May-11,M4P,0.900
1168902,29-Apr-11,M6C,<0.500
1168908,20-Apr-11,M4J,2.00
1168916,17-Apr-11,M4C,<0.500
1168920,28-Apr-11,M4L,3.00
1168924,23-Apr-11,M4J,21.0
1168927,02-May-11,M4J,2.00
1168932,02-May-11,M4K,0.600
1168936,27-Apr-11,M4M,2.00
1168941,23-Apr-11,M4L,8.00
1168944,28-Apr-11,M4C,5.00
1168950,27-Apr-11,M4C,<0.500
1168963,04-May-11,M4J,0.800
1168966,21-Apr-11,M4S,12.0
1168967,21-Apr-11,M5A,10.0
1168973,21-Apr-11,M1K,3.00
1168981,08-Apr-11,M5A,5.00
1169749,05-May-11,M4S,5.00
1169750,02-May-11,M6C,<0.500
1169751,28-Apr-11,M4S,2.00
1170848,13-Apr-11,M4S,6.00
1170850,29-Apr-11,M5S,13.0
1170921,09-May-11,M6E,26.0
1170922,09-May-11,M4X,<0.500
1170924,02-May-11,M5A,<0.500
1170925,02-May-11,M4P,<0.500
1170926,04-May-11,M6G,0.600
1170927,05-May-11,M6G,<0.500
1170928,05-May-11,M6J,5.00
1170929,24-Apr-11,M4N,19.0
1170930,21-Apr-11,M5N,<0.500
1170938,20-Apr-11,M6B,5.00
1170960,19-Apr-11,M6G,8.00
1170961,19-Apr-11,M5M,11.0
1170964,26-Apr-11,M2M,<0.500
1170966,26-Apr-11,M2N,<0.500
1170969,27-Apr-11,M6H,6.00
1170970,28-Apr-11,M6K,0.900
1170971,28-Apr-11,M6P,6.00
1170979,29-Apr-11,M6S,7.00
1170980,28-Apr-11,M8Z,<0.500
1170981,29-Apr-11,M5S,0.700
1170982,29-Apr-11,M6J,16.0
1170983,29-Apr-11,M6H,4.00
1170985,30-Apr-11,M4N,6.00
1170988,01-May-11,M6G,4.00
1170989,01-May-11,M6L,<0.500
1171014,26-Mar-11,M4S,4.00
1171017,03-May-11,M4M,3.00
1171018,03-May-11,M6C,5.00
1171020,03-May-11,M5S,4.00
1171021,04-May-11,M4L,1.00
1171022,04-May-11,M4M,4.00
1171023,04-May-11,M2J,<0.500
1171024,04-May-11,M6R,0.900
1171025,04-May-11,M5S,<0.500
1171026,05-May-11,M4N,0.600
1171027,05-May-11,M6N,3.00
1171092,05-May-11,M6E,16.0
1171093,05-May-11,M4K,3.00
1171094,05-May-11,M4C,12.0
